Price,Area,Bedrooms,WC,Length,Width,Floors,has_facade,no_facade,Area_Total,Average_price
3.25,44.0,2.079529593152648,1.9425311325740662,11.0,4.0,2.0,1,0,88.0,6.094126923076923
6.9,78.0,5.0,6.0,4.0,19.0,5.0,1,0,390.0,6.094126923076923
3.95,80.0,2.0,2.0,16.0,5.2,3.0,1,0,240.0,6.094126923076923
3.95,80.0,2.0,2.0,16.0,5.2,2.0,1,0,160.0,6.094126923076923
7.9,48.0,4.0,4.0,4.0,12.0,3.0,1,0,144.0,6.094126923076923
10.0,84.0,6.0,4.69650806597645,4.0,21.0,3.0,1,0,252.0,6.094126923076923
6.5,60.0,3.0,4.0,4.0,15.0,3.0,1,0,180.0,6.094126923076923
5.9,80.0,4.0,3.418551964498493,16.0,5.0,4.0,1,0,320.0,6.094126923076923
4.4,60.0,3.0,3.0,11.0,4.0,4.0,1,0,240.0,6.094126923076923
3.55,50.0,2.094705777426729,1.9072714826311072,4.0,12.5,2.0,1,0,100.0,6.094126923076923
4.8,71.0,3.0,2.0,18.0,4.0,2.0,1,0,142.0,6.094126923076923
3.15,32.0,2.0,2.0,8.0,4.0,2.0,1,0,64.0,6.094126923076923
6.38,100.0,4.0,3.0,4.5,22.22222222222222,3.0,1,0,300.0,6.094126923076923
5.7,70.0,4.0,6.0,17.0,4.0,4.0,1,0,280.0,6.094126923076923
5.88,90.0,4.0,4.0,18.0,5.0,4.0,1,0,360.0,6.094126923076923
13.2,100.0,7.0,7.0,20.0,5.0,4.0,1,0,400.0,6.094126923076923
9.7,100.0,5.0,4.187384300436924,20.0,5.0,3.0,1,0,300.0,6.094126923076923
9.7,100.0,5.0,4.187384300436924,20.0,5.0,3.0,1,0,300.0,6.094126923076923
7.7,80.0,4.0,4.4,4.0,17.0,3.0,1,0,240.0,6.094126923076923
6.1,104.0,3.5829702207326077,3.161073843821429,26.0,4.0,2.0,1,0,208.0,6.094126923076923
4.2,65.0,3.0,2.0,5.0,13.0,2.0,1,0,130.0,6.094126923076923
5.5,74.0,7.0,7.071192915250995,4.0,18.5,3.0,1,0,222.0,6.094126923076923
10.88,80.0,4.0,4.0,20.0,4.0,4.0,1,0,320.0,6.094126923076923
10.88,80.0,4.0,4.0,20.0,4.0,4.0,1,0,320.0,6.094126923076923
6.8,64.0,3.526097330142707,3.199800009191676,16.0,4.0,1.0,1,0,64.0,6.094126923076923
11.0,80.0,3.0,2.0,15.0,4.6,2.0,1,0,160.0,6.094126923076923
7.5,100.0,4.0,5.0,5.0,16.0,3.0,1,0,300.0,6.094126923076923
5.7,52.0,4.0,4.0,4.0,13.0,1.0,1,0,52.0,6.094126923076923
9.75,84.0,7.0,7.071192915250995,4.0,21.0,5.0,1,0,420.0,6.094126923076923
7.2,86.0,3.9085784411835127,3.8871447986300502,4.0,21.5,3.0,1,0,258.0,6.094126923076923
6.3,81.0,3.59414200794882,3.266530604679305,18.0,4.5,3.0,1,0,243.0,6.094126923076923
3.6,57.0,3.658536766906418,2.6875669330736027,4.0,18.0,1.0,1,0,57.0,6.094126923076923
12.5,100.0,4.0,5.0,5.0,20.0,3.0,1,0,300.0,6.094126923076923
12.5,100.0,4.0,5.0,20.0,5.0,3.0,1,0,300.0,6.094126923076923
3.75,57.0,3.276465269265455,2.524972553973942,13.0,4.5,1.0,1,0,57.0,6.094126923076923
5.98,60.0,5.0,5.0,14.0,4.0,4.0,1,0,240.0,6.094126923076923
7.2,72.0,3.279835609285191,3.012257297814482,4.0,18.0,2.0,1,0,144.0,6.094126923076923
3.6,85.0,3.0,2.0,21.0,4.0,2.0,1,0,170.0,6.094126923076923
4.9,45.0,3.0,2.0,5.2,8.653846153846153,2.0,1,0,90.0,6.094126923076923
16.2,143.5,7.0,7.071192915250995,21.0,8.0,4.0,1,0,486.0,6.094126923076923
12.5,80.0,4.413479714047442,4.1732709853906655,4.0,20.0,3.0,1,0,240.0,6.094126923076923
4.65,66.0,2.0,2.0,16.5,4.0,2.0,1,0,132.0,6.094126923076923
4.65,66.0,2.0,2.0,16.5,4.0,2.0,1,0,132.0,6.094126923076923
3.5,37.0,2.9560002533710503,2.6646031660321507,4.1,9.0,3.0,1,0,111.0,6.094126923076923
4.9,40.0,3.0,2.0,7.7,5.1,2.0,1,0,80.0,6.094126923076923
4.9,40.0,3.0,2.0,5.1,7.7,2.0,1,0,80.0,6.094126923076923
9.9,100.0,6.0,4.263857979026255,5.0,16.0,3.0,1,0,300.0,6.094126923076923
15.0,100.0,5.0,6.0,5.0,20.0,3.0,1,0,300.0,6.094126923076923
7.6,80.0,3.0,4.0,4.0,15.0,3.0,1,0,240.0,6.094126923076923
5.1,45.0,4.0,5.0,5.0,9.0,4.0,0,1,180.0,6.094126923076923
5.2,90.0,3.0,4.0,22.0,4.0,1.0,1,0,90.0,6.094126923076923
4.45,48.0,2.3971781818152023,2.2725689222388312,12.0,4.0,2.0,1,0,96.0,6.094126923076923
6.4,64.0,4.0,5.0,16.0,4.0,3.0,1,0,192.0,6.094126923076923
7.5,105.0,3.9362947611330035,3.3003805759628695,21.0,5.0,2.0,1,0,210.0,6.094126923076923
5.5,52.0,2.6197500252820447,2.339956786084169,13.0,4.0,2.0,1,0,104.0,6.094126923076923
3.1,48.0,2.0,2.0,4.0,12.0,2.0,1,0,96.0,6.094126923076923
5.7,56.0,4.0,4.0,4.0,14.0,3.0,1,0,168.0,6.094126923076923
5.5,64.0,3.0,2.0,16.0,4.0,2.0,1,0,128.0,6.094126923076923
4.5,70.0,3.163513962563158,3.0029895732517926,5.0,14.0,1.0,1,0,70.0,6.094126923076923
5.5,60.0,3.2,2.3333333333333335,14.0,4.3,2.0,1,0,120.0,6.094126923076923
4.6,60.0,2.0,2.3333333333333335,4.0,15.0,2.0,1,0,120.0,6.094126923076923
4.9,72.0,3.3121202760539,2.985166563661302,4.0,18.0,3.0,1,0,216.0,6.094126923076923
0.02,143.5,7.0,7.071192915250995,6.0,24.0,1.0,1,0,200.0,6.094126923076923
5.0,50.0,4.0,3.0,12.0,4.0,4.0,1,0,200.0,6.094126923076923
5.6,63.0,4.0,4.0,15.0,4.2,3.0,1,0,189.0,6.094126923076923
3.4,50.0,2.0,2.0,4.0,12.5,2.0,1,0,100.0,6.094126923076923
4.45,60.0,2.4593355121992335,2.1478056601374096,16.0,4.0,2.0,1,0,120.0,6.094126923076923
10.5,131.0,6.0,4.132916669669402,27.0,6.5,1.0,1,0,131.0,6.094126923076923
5.45,64.0,4.0,4.0,16.0,4.0,3.0,1,0,192.0,6.094126923076923
5.1,62.0,4.0,4.0,4.0,15.0,1.0,1,0,62.0,6.094126923076923
6.9,68.0,3.0,3.0,17.0,4.0,3.0,1,0,204.0,6.094126923076923
7.0,73.0,3.0,3.0,4.0,18.5,2.0,1,0,146.0,6.094126923076923
12.5,143.5,7.0,7.071192915250995,12.0,16.0,4.0,0,1,486.0,6.094126923076923
5.89,84.0,4.0,4.0,21.0,4.0,4.0,1,0,336.0,6.094126923076923
14.0,143.5,7.0,6.683377583105853,21.0,13.5,4.0,1,0,486.0,6.094126923076923
4.5,68.0,2.0,2.0,17.0,4.0,2.0,1,0,136.0,6.094126923076923
